@relation tache2.2

@attribute _text string
@attribute _class {DEPLAISIR, DERANGEMENT, MEPRIS, SURPRISE_NEGATIVE, PEUR, COLERE, ENNUI, TRISTESSE, PLAISIR, APAISEMENT, AMOUR, SURPRISE_POSITIVE, SATISFACTION, INSATISFACTION, ACCORD, VALORISATION, DESACCORD, DEVALORISATION, INSTRUCTION}

@data
'La technologie clé contre le changement climatique http//t.co/GJsXTmveuN',DESACCORD
'SOS Changement climatique Les pesticides ne devraient pas être automatiques http//t.co/rrYqJvi02f #lepoint',PEUR
'Le Havre éoliennes en mer Areva signe une convention locale - http//t.co/LDl9ukQalk via @Dailymotion',ACCORD
'@VodkaAcide j\'ai construit ma maison moi-même à Wentworth-Nord; elle utilise entre autre l\'énergie solaire des matériaux sains ou certifiés',VALORISATION
'Le Congo abrite la deuxième forêt tropical la plus vaste au monde elle es vital a la lutte contre le changement climatique @LaTeamZ ????',VALORISATION
'Plus l\'écosystème #Chromecast grandit plus je me dis que les set-top box des opérateurs telco ont du souci à se faire... #Google',VALORISATION
'@PaulMaxit @SophieCamard @pcanfin @MicheleRivasi les oiseaux et les éoliennes LOL les chats sont biens plus violents !',MEPRIS
'Panneaux solaires les Chinois ne respectent pas les règles antidumping | @scoopit http//t.co/OlcN7wpjyX',VALORISATION
'Ces crétins du #Hamas ont envoyé une roquettes sur une centrale électrique de #Gaza.',MEPRIS
'#PalestineVaincra c pas possible  vs avez défoncé vous même une centrale électrique bande d\'idiots de bicos',COLERE
'Ces idiots...! Une roquette du #hamas est tombée sur une centrale électrique en #Israel privant 70 000 habitants de #gaza d\'électricité ! ?',MEPRIS
'Mazars crée un écosystème dédié aux TPE/PME/ETI @MazarsenFrance http//t.co/z2F73rQ2Tv',VALORISATION
'@Gaulliste21eme nucléaire  développement d\'une politique du tout électrique  énergies renouvelables ...',VALORISATION
'@crosjules011 Marshall plutot ! Lui qui préfère aider les entreprises ecologiques plutot qu\'avoir un gros salaire',VALORISATION
'@dugastuta C\'est une insulte pr les animaux de dire çans sommes pire.Il existe encore des lieux où des populations respectent l\'écosystème!',MEPRIS
'Nouvelle note sur mon blog Tinlot éoliennes avant son départ le ministre Henry signe le projet de 5 éolienn... http//t.co/lQ45HeWX8E',ACCORD
'Comme quoi le réchauffement climatique fait dire bien des âneries........ http//t.co/TTcu0LHSI5',MEPRIS
'#Développement #durable les #entreprises de #Libourne s’engagent via @journalsudouest http//t.co/EnLOEnV0MC',ACCORD
'Inauguration du plus grand parc agri-solaire de Languedoc-Roussillon quand l’énergie... http//t.co/0lWhyfFMAk',VALORISATION
'(Repost) Félicitations à @contribuables pour leur \"Enquêtes\" n°6 sur les dégâts de l\'écologisme http//t.co/Q02ao4COZW 350€ en ligne',SATISFACTION
'Découvertes surprenantes en Egypte Preuve de haute technologie très ancienne dont des machines à d... | @scoopit http//t.co/2hda4Hy1XW',SURPRISE_POSITIVE
'Prof environnementaliste institutionnaliste mais lâche @fuch11koma efface vite ses tweets de manipulation antisémite. La haine à l\'école.',MEPRIS
'@mysoofa a créé des bancs à énergie solaire pour charger son #smartphone ! => http//t.co/nUCWrvum3O',VALORISATION
'Développement durable en ville «convaincre plutôt que vaincre» | Infogreen http//t.co/4pXW4gsF2z via @sharethis',ACCORD
'#TDF #biodiversité Le lynx un chasseur nocturne à la discrétion exemplaire http//t.co/k648xhbbvq',VALORISATION
'Pauvre débile ??Un écologiste justifie les attaques de synagogues et s\'attire les foudres de son parti http//t.co/CmLNlqm8wO via @Le_Scan',MEPRIS
'Le @lecese émet des réserves sur la réduction de la part du #nucléaire | @Lenergeek #énergies http//t.co/cY4Y2GzrSk',PEUR
'Vers un écosystème pour booster le secteur pharmaceutique http//t.co/zT0LUYlu5v',VALORISATION
'Loup Non à la participation des chasseurs pour 75 pourcents des avis | @scoopit http//t.co/nQ9kqh2bRu #Chasse #Animaux #Biodiversité',DESACCORD
'L’UE somme les Etats d’optimiser les dépenses en faveur des ENR | Quelle Energie Le magazine http//t.co/5lr6CQXllJ',VALORISATION
'210 millions de dollars de l\'USAID pour la biodiversité http//t.co/GgiqQTr6aF #international',VALORISATION
'Je soutiens le développement durable et l\' #écologie ! http//t.co/4q1VR97PQZ #DD #Climat #crowdfunding @sacapart @Kissbankers',ACCORD
'La validation du plan togolais sur la biodiversité a démarré ce 14 juillet à Lomé.',VALORISATION
'L’EAA appuie le Togo dans la lutte pour la rédu... http//t.co/Qx4508Dhsl',ACCORD
'Un député EELV justifie les attaques sur les synagogues ! C\'est un scandale d\'en arriver là... http//t.co/7YqCKMuKzQ]',COLERE
'@PierreMinnaert comment on peut dire des conneries comme cela quand on est ecologiste',MEPRIS
'On imagine le future des mégapoles partout mauvais ça détruit l\'écosystème',DEVALORISATION
'Utiliser l\'énergie solaire dans les procédés industriels le pari de Rackam @rackamsolaire via @LP_LaPresse http//t.co/PnNY6BYYin #Energie',VALORISATION
'EELV \"François Hollande oublie l\'écologie dès qu\'il n\'y a plus de ministres écologistes au gouvernement\". http//t.co/63SWQ4Cp04',DEVALORISATION
'Arnaud Montebourg « Nous construisons la France des énergies renouvelables moins dépendante aux hydrocarbures » http//t.co/AnexNrecni',VALORISATION
'Sibelga déconseille les éoliennes à Bruxelles. #reportage http//t.co/wXOTVsjP2n',DEVALORISATION
'#oenotourisme Œnotourisme durable - Le développement durable est un concept qui prend de plus en plus d\'importance dans l\'esprit des...',VALORISATION
'On a plombé le condor de Californie | Courrier international (v Biodiversité le monde du vivant) http//t.co/Tdz9thXdZP',TRISTESSE
'Bienvenue sur SAUVAGES de PACA | SAUVAGES de PACA | @scoopit http//t.co/qhcxyKtgD3',VALORISATION
'Pluie de permis accordés par Ph. Henry co/ à Tinlot 5 éoliennes entre Soheit et Terwagne http//t.co/FGMyrPzGud Pourquoi?',ACCORD
'Environnement - Plus de 200 villes renforcent leur résilience face au changement climatique Pour atténuer les... http//t.co/wGwYDOT0gr',VALORISATION
'Abatages de #Loups @RoyalSegolene ou la honte de l\'écologie Française http//t.co/gZZ8WIu8zB',MEPRIS
'Un bel article qui montre que la culture est un écosystème fragile basé sur une nécessaire diversité culturelle http//t.co/ikPFzpubjG',VALORISATION
'Oh les verts je sais pas si vous avez pas encore compris mais l\'écologie en politique on s\'en bat le couilles ?',MEPRIS
'Eoliennes solaire transport en commun qui culpabilise le prolo et sa voiture etc. #LT',DERANGEMENT
'Energies renouvelables Double consécration pour le Maroc à l\'ONU Sonia Mezzour Secrétaire Général de l\'Agence... http//t.co/C2zyXd1r8Z',ACCORD
'#ClimateChange Plus de 200 villes renforcent leur résilience face au changement climatique http//t.co/aFZIrid2bt via @actuenviro',VALORISATION
'Les dirigeants des Balkans veulent renforcer la coopération économique http//t.co/yhp8mTLebY #ecologie',VALORISATION
'Le Centrale électrique solaire était déjà super mais là ilest encore mieux ! http//t.co/3L7jeKrWIv #ipad #ipadgames #gameinsight',VALORISATION
'ETATS-UNIS - Sauvetage de Pélican brun et d\'autres animaux sauvages en Floride http//t.co/4YpNmBXFbM #Biodiversité-RésilienceduVivant',VALORISATION
'Agriculture. Des éleveurs s\'engagent pour la biodiversité - http//t.co/hOuMKQCsfy #GoogleAlerts',ACCORD
'Au lieu de faire de la #Tunisie un pays xénophobe (timbre carte de séjour X 10) faites une taxe pour les sacs plastiques. #Tngov #Écologie',COLERE
'200 villes renforcent leur résilience au changement climatique. #c40 http//t.co/8XzvhVr5fc',VALORISATION
'#Débat | \"Les enjeux sont très importants\" http//t.co/6ftlEUfAPB Faut-il avoir peur de la #biodiversité ? > @AvenirB @NasyonCreole',VALORISATION
'Energies renouvelables Double consécration pour le Maroc à l\'ONU http//t.co/SxjlaqfqoN',VALORISATION
'Il y a un bal parfumé dans ma chambre. J\'ai mis à brûler quelques bâtonnets d\'encens histoire de planter mon écosystème d\'ermite ...',PLAISIR
'Un groupe écologiste s\'inquiète du sort des parcs nationaux Un groupe environnemental dénonce l\'état des parcs... http//t.co/MRoqndVTZ4',PEUR
'Les éleveurs du groupement des fermiers d\'Ancenis s\'engagent pour la biodiversité http//t.co/zxQ75C9IkO cc @terrenacoop #AEI #AgriConfiance',VALORISATION
'Un groupe écologiste s\'inquiète du sort des parcs nationaux http//t.co/z9NujKW8zM',PEUR
'ReporTerre - L\'adaptation au changement climatique L\'adaptation émerge aujourd\'hui comme une dimension incont... http//t.co/y8CtXAKAtl',VALORISATION
'#Bordeaux Trop d\'argent dans la Garonne la biodiversité du fleuve menacée par une pollution aux métaux http//t.co/2ULjMLjYGh',PEUR
'C\'est déjà trop tard les porcs sont au pouvoir et tout ce qu\'ils touchent est souillé! désastre écologique https//t.co/1OmJf7u8z5',MEPRIS
'BOUM Plus de 200 villes renforcent leur résilience face au changement climatique http//t.co/FPd0gGCa6X',VALORISATION
'#DD Plus de 200 #villes renforcent leur #résilience face au #changement #climatique http//t.co/TgOaQzCQw2',VALORISATION
'#Fin4Ag14 #open T. Rhoda Peace il faut reduire les risques liés au changement climatique pour développer l\'#agriculture',VALORISATION
'Une belle initiative #Bordeaux la première épicerie zéro emballage. #écologie http//t.co/IV9nLbni3L',VALORISATION
'LightSail se propulsera dans l\'espace uniquement à l\'#énergie #solaire http//t.co/3KXatiRjGb #role_energies',VALORISATION
'Solar Décathlon l’innovation rayonne à Versailles http//t.co/luGTGgMbXf',VALORISATION
'Un engin à énergie solaire lancé dans l\'espace en 2016 - UP Magazine | @scoopit http//t.co/2mQmhuaHBZ',VALORISATION
'Canada un groupe écologiste s\'inquiète du sort des parcs nationaux. #environnement http//t.co/oApZjDZB3S',PEUR
'@cepcam heureusement que c\'est compensé par les éoliennes.',SATISFACTION
'Etablir un cadre réglementaire stable et prévisible en faveur des énergies renouvelables… http//t.co/6kcPQ0tERJ',VALORISATION
'Le gouvernement récompense les entreprises écologiques - Bioaddict http//t.co/Js2vG3Zw30',VALORISATION
'Fontaine-Daniel une si belle #histoire http//t.co/IjKWpBfvAn #Mayenne #villageprefere #utopie #ecologie #social',VALORISATION
'Nouvelle France industrielle un plan Navires écologiques pour soutenir la filière navale | http//t.co/RywtxxXokx',VALORISATION
'Fontaine-Daniel une si belle histoire - via @Loi_1901 http//t.co/ouCGLekoOa #utopie #ecologie #social #histoire #mayenne',VALORISATION
'Bilan tout chaud de la 5ème Monaco Blue Initiative !! http//t.co/2fDZj69zk4',VALORISATION
'Une enquête de #PLAN au Sri Lanka révèle l\'inquiétude des enfants face au changement climatique => http//t.co/YDMMfAlOWG',PEUR
'Merci @bfongarnand RT Fontaine-Daniel une si belle #histoire http//t.co/IjKWpBfvAn #Mayenne #villageprefere #utopie #ecologie #social',SATISFACTION
'Merci @CAROLoick pour RT Fontaine-Daniel une si belle #histoire http//t.co/IjKWpBfvAn #Mayenne #villageprefere #utopie #ecologie #social',SATISFACTION
'Refinancement de 5 #centralessolaires dans le Sud de la France - http//t.co/aJsjfDhwWF',VALORISATION
'@Europe_EnR en tous les cas #NDDL sera + écologique et ça vous embête! #NDDL @aeroportgdouest Stop&Go @ailespourlouest @Prefet44 @clergeau',DERANGEMENT
'EDF reçoit le feu vert du Cameroun pour construire une centrale hydroélectrique http//t.co/l3PReMhphy #ActualitéEconomique',ACCORD
'Avis délibéré de l\'Autorité enviro. sur le projet de gestion des sédiments de la Rance issus du site de Lyvet http//t.co/meOFT5BIa6',ACCORD
'Après un désherbage inquiétant des élus craignent une pollution de l’eau potable http//t.co/zpPZXEOLXQ #Environnement #Ecologie',PEUR
'Un groupe écologiste s\'inquiète du sort des parcs nationaux | National | @scoopit http//t.co/wCNx8Gwr8V #Environnement #Ecologie',PEUR
'#Fin4Ag14 #open #PnP Ministre @akin_adesina le changement climatique aussi rend les choses difficiles',DEVALORISATION
'On te parle écologie on te culpabilise et quand tu veux bien faire on te prend pour un con. Le politique du néant .',COLERE
'L\'islam est le plus grand danger du 21 ème siècle bien avant la pollution ou les centrales électriques. http//t.co/zpMj2T28PO',DEVALORISATION
'Actu Positive Prenez autant de douches que vous voulez écologique et économique! http//t.co/pihYDdEq16 #ap by http//t.co/517hXzcG7w',VALORISATION
'Chine - Vers une exonération de taxe pour les véhicules électriques http//t.co/f2OKJko8Rf',VALORISATION
'#ecologie L\'écotaxe déclenche la grogne des transporteurs routiers http//t.co/Cplb8xzYt5',COLERE
'Rt @Limportant_fr 200 métropoles se protègent face au changement climatique http//t.co/XOpc1Pp6v9 http//t.co/98uehvCxpc',VALORISATION
'Carrefour agit pour réduire les émissions de gaz à effet de serre. #Biodiversité #déchets… notre engagement #COP21 ! http//t.co/GgR32p22oz',ACCORD
'Chemazé. Depuis un mois une buse lui pourrit la vie | http//t.co/o83AhE6JN2',MEPRIS
'Les métiers du développement durable ont le vent en poupe. Focus sur dix d’entre eux parfois méconnus du public. http//t.co/h7hrO5BzO1',VALORISATION
'Steria conseille et assiste l’ESMA dans la gestion de ses projets IT et ses interactions avec son écosystème IT http//t.co/mgwXUzfTzB',ACCORD
'Rapport la technologie pour contrer le changement climatique décarboner l\'électricité apparaît comme LA priorité http//t.co/cX7YwjdNb7',VALORISATION
'Biodiversité les bons indicateurs http//t.co/IF0BG49aVA',VALORISATION
'Pourquoi il est urgent de remplacer le nucléaire par Jean-Pierre Petit anc... http//t.co/J218wgbhrQ #Ecologie-conso-biodiversité-énergie',PEUR
'Ressources pour enrichir les projets pédagogiques autour de la biodiversité et des pays du ... http//t.co/sVeQwkrvtA #eduscol #TICE',VALORISATION
'La biodiversité se cultive l’exemple du sorgho http//t.co/97Gl9dTgVA',VALORISATION
'Cameroun  EDF reçoit le feu vert pour construire une centrale h ... - http//t.co/HrlSZz8tJE http//t.co/XHy3OerpXz',ACCORD
'Une bonne nouvelle pour le peuple #Camerounais... http//t.co/pEjxNZWZss',VALORISATION
'EDF reçoit le feu vert du Cameroun pour construire une centrale hydroélectrique... http//t.co/6R8wLdNEuM',ACCORD
'Sur notre blog Le crédit d\'impôt en faveur du développement durable http//t.co/kr4Yb68Ktz',VALORISATION
'Lien confirmé entre l\'utilisation des neonicotinoides des pesticides et le... http//t.co/LJdkihQ4He #Ecologie-conso-biodiversité-énergie',ACCORD
'#directsenat @JVPlace \"Les écologistes aussi savent faire des économies\" PPL diesel pesticides ondes -> énormes économies de santé en vue',VALORISATION
'@Drax65 @paquito_31 @AvelMenhir Marre aussi de toutes ces cathédrales qui gênent (parfois) les jolies éoliennes! http//t.co/AwRIIKO0cu',DERANGEMENT
'#Produits #BTP #Bâtiment Prison ferme pour une escroquerie aux panneaux solaires http//t.co/AxD2eBYyV6',MEPRIS
'Un jugement américain qui réjouit des #écologistes #québécois http//t.co/jdVrxbKq85 via @lp_lapresse',PLAISIR
'Le maire de Bastia alerte la ministre de l\'Ecologie sur le risque que présente le passage du Costa Concordia au large de la Corse',PEUR
'Sri Lanka - Les enfants inquiets des impacts actuels et futurs du changement climatique sur leur environnement direct http//t.co/YDMMfAlOWG',PEUR
'Prison ferme pour une escroquerie aux panneaux solaires L\'ancien gérant d\'une société de pose de panneaux sol... http//t.co/9rZFh7cLo1',MEPRIS
'L’Allemagne réforme l’#Energiewende et revoit son dispositif d’aide aux #ENR http//t.co/kby4VqhTSA #transition http//t.co/OFPljtQm9L',ACCORD
'#PLFR @EvaSasAN \"rétablir les crédits de la mission écologie est pour nous une priorité\" #directAN',VALORISATION
'Le dialogue 2014 de Petersberg sur le climat (14/15 juillet) http//t.co/lPKyqR2lyz',ACCORD
'La ministre de l\'écologie Ségolène Royal a décidé de protéger les éleveurs en facilitant les tirs contre les... http//t.co/ZTEO7nL1BI',ACCORD
'Escroquerie aux panneaux solaires un an de prison ferme pour l’ancien gérant Le tribunal correctionnel d’A... http//t.co/LDSyZjDMG0',MEPRIS
'Les #transports 1er secteur engagé pour la #mixité des métiers http//t.co/LPaQBkWIuu via @ecologiEnergie cc @najatvb #transport',ACCORD
'La chasse au loup est ouverte le préfet autorise un tir de prélèvement cet été en Isère http//t.co/59FJHDCEU4 #Biodiversité #Loup #Animaux',ACCORD
'FH pendant sa campagne avait fait tout un plat avec la transition énergétique. Or depuis plus de 2 ans combien de loi sur l écologie?',COLERE
'L\'Europe a réduit de 25\% l\'installation d\'éoliennes offshore au premier semestre. http//t.co/TW5dgd8POL',VALORISATION
'@melenchonactu vive la TVA avec #revenudebase elle fera ENFIN payer le CAPITAL via richesse créés par les machines!! http//t.co/xPp2dEi9nY',VALORISATION
'Chanter des chansons c\'est une façon d\'exprimer nos sentiments. Je crois que la conservation de la nature... http//t.co/DlogzdSpYr',VALORISATION
'Tableau des levées de fonds 1er semestre 2014 efficacité énergétique [2/5] http//t.co/nlthRNZ9hu #ecologie GreenUnivers',VALORISATION
'Les oiseaux n’aiment pas les feux d’artifice du nouvel ... http//t.co/6c3xshSmoL #Oiseaux #Biodiversité #Animaux #Ecologie via @Loovenelle',MEPRIS
'Plus de 200 villes renforcent leur résilience face au changement climatique la nécessaire adaptation ! http//t.co/YFX5FP4RTA',VALORISATION
'Victimes de la route les serpents disparaissent - La Nouvelle République (v Biodiversité le monde du vivant) http//t.co/lrLZSHNj13',PEUR
'Est-ce que le changement climatique finira par avoir ... — Oui car l\'agriculture avec le réchauffement climatiq... http//t.co/cgztCGXVce',ACCORD
'Adieu le green de papa vive la pelouse écologique ! http//t.co/KI2t0FiR0d',VALORISATION
'#PLFR @EvaSasAN présente les amdts du groupe @ECOLOdep pour empêcher les annulations de crédits de la mission #écologie #DirectAN #budget',VALORISATION
'L’UE somme les Etats d’optimiser les dépenses en faveur des ENR | Quelle... http//t.co/fY3WVWjetf',COLERE
'Avec @EvaSasAN pour défendre les crédits de l\'Ecologie au PLFR hélas en vain #DirectAN @ECOLOdep',TRISTESSE
'Le Grand Vallon récompensé pour ses efforts en développement durable http//t.co/JpGWPOzYRt',VALORISATION
'Wwf Russie l\'écologiste partenaire idéal du journaliste (Mironiouk) http//t.co/MsqjORLXJC',ACCORD
'@KihouMiu t\'es la meilleure Laura ? tu es tellement drôle et sympas et surtout naturelle! Tu dégage une telle énergie positive! Je t\'aime?',AMOUR
'#Santé #Alimrntation #Agriculture #Ecologie Le bio c’est meilleur pour la santé selon une revue de 343 études @LeQdM http//t.co/UABN4zG19N',VALORISATION
'Ministre de l\'Écologie du Développement durable et de l\'Énergie Ségolène ROYAL Interdire a... http//t.co/reMIop5Eag',DESACCORD
'Les losers et les salopes deux espèces en voie d\'extinction! The losers and sluts two endangered species! Les... http//t.co/qOpiOQGSD7',VALORISATION
'@qwazen Super pour capter l\'energie des eoliennes ouai sinon on capte rien du tout meme l\'operateur reconnait pas les lieux !',SATISFACTION
'Agro-écologie sept projets soutenus par la Région Ouest-France Ils concernent l\'association Produire autrement... http//t.co/qQDIX2TiRI',ACCORD
'Christian Roy Cette année quelque 102 cités se sont dotées de plans d\'adaptation au changement climatique. En... http//t.co/ccn9AkLW7w',VALORISATION
'Japon feu vert pour le redémarrage du nucléaire http//t.co/PcWu3QtNW9 #ecologie',ACCORD
'\"Ressources pour enrichir les projets pédagogiques autour de la biodiversité et des pays du ...\" http//t.co/2DYkwzRVvf',VALORISATION
'RT @EurActiv_FR Pourquoi la Cour des comptes européenne critique la gestion des renouvelables http//t.co/I50oQ82HRP',INSATISFACTION
'Ségolène Royal \"Je ne veux pas que l\'écologie soit punitive\" http//t.co/J1xhX9ITXu',VALORISATION
'La bonne nouvelle du jour alliance #Apple #IBM qui crée le meilleur écosystème pour les AppS d\'entreprise',VALORISATION
'On serait en droit de s\'interroger sur les aspects d\'intérêts particuliers et fa... http//t.co/CpVubXcNCU http//t.co/0xU4zJ3XdA #Tw974',DERANGEMENT
'#BTP #Durable #DD #Ecologie 11e convention Efficience énergétique du bâtiment 21/10/14 - 21/10/14 http//t.co/zggBpq893O',VALORISATION
'Premier défi culinaire pour lutter contre le changement climatique http//t.co/HRqCqV2rcb',DESACCORD
'#biodiversité La chasse au loup est ouverte le préfet autorise un tir de prélèvement cet été en Isère - France 3... http//t.co/MfKwVXWI9J',ACCORD
'Fukushima Des récoltes exceptionnelles malgré la paranoïa écologiste http//t.co/KNUmhyZmz7',VALORISATION
'#NDDL la mobilisation ne faiblit pas http//t.co/l4BYE1Adev',VALORISATION
'#Biodiversité - necessité d\'une approche dynamique et dangers des #OGM #agriculture http//t.co/5vlXiZK6v5',PEUR
'Non aux éoliennes de la ferme du Torpt à Tourville et St-Meslin http//t.co/6EZg8I52kF',DESACCORD
'[Publication] Programme concertation décision environnement - CGDD http//t.co/53mCANrj9H',ACCORD
'Eric Thouzeau a été élu président d\'Air Pays de la Loire A 60 ans Eric Thouzeau conseiller régio... http//t.co/lLmKjQdkTm #écologie',ACCORD
'Préservation de la biodiversité Cemex et la LPO reconduisent leur partenariat http//t.co/6Zd2JYtaGr',ACCORD
