"ID de la réponse","Date de soumission","Dernière page","Langue de départ","Quel est votre statut?   ","Sexe?","Avez vous déjà étudié/enseigné dans une salle équipée de capteurs ?","Etes vous favorable à l’usage des IoT sur le campus et la vie quotienne en général?","Globalement, quelles émotions les technologies IoT (villes intelligentes, bâtiments intelligents, objets connectés, etc.) vous évoquent-elles  ?","Justifier votre réponse aux questions précédentes  par un texte de maximum 280 caractères qui met en avant vos sentiments/émotions sur l'usage des dispositifs IoT dans la vie quotidienne."
"13","1980-01-01 00:00:00","6","fr","Personnel","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","L'IoT dans la vie quotidienne me permet de ressentir une certaine forme de contrôle sur les choses, ce qui est apaisant, serein. "
"14","1980-01-01 00:00:00","6","fr","Personnel","Féminin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)","Je suis intéressée par les bénéfices que peuvent apporter les dispositifs IoT, mais également inquiète de ce qui pourrait en être tiré s'ils sont détournés de leur objectif primaire."
"15","","0","fr","Autre","N/A","N/A","N/A","",""
"16","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Oui","Oui","Aucune","xxxxxx"
"17","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Oui","Oui","Aucune","Je ne pense pas avoir une vision sentimentale/émotionnelle vis-à-vis de l'IoT.
Je pense que comme toute technologie elle peut être utilisée à bon escient, ou non ; tout dépend de l'usage qui est fait des données ainsi collectées."
"18","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Oui","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","L’Internet des Objets réconcilie le monde numérique et virtuel crée par les réseaux informatique et les applications mobiles avec le monde physique. "
"19","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Oui","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Projette dans le futur, laisse imaginer toutes les améliorations possibles pour les usagers et pour la planète."
"20","","5","fr","Etudiant","Masculin","Non","Oui","",""
"21","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","J'aime la modernité. "
"22","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Oui","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Je pense que l'usage des dispositifs IoT dans la vie quotidienne permet une plus grande sérénité que ce soit pour l'écologie et la sécurité."
"23","","5","fr","Personnel","Féminin","Non","Non","Mépris (Mépris / dédain / dégoût / haine/déplaisir/ déception/pessimisme)",""
"24","","4","fr","Etudiant","Masculin","Oui","Oui","",""
"25","","5","fr","Personnel","Féminin","Non","Oui","Surprise (Surprise / étonnement)",""
"26","","2","fr","Personnel","Masculin","N/A","N/A","",""
"27","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","l'IoT nous permettra d'adopter un comportement plus écocitoyen, avec un peu de compétition, pour campus plus vert. "
"28","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Non","Non","Ennui","."
"30","1980-01-01 00:00:00","6","fr","Personnel","Féminin","Non","Oui","Aucune","Cela ne m'évoque aucun sentiment particulier."
"31","","5","fr","Personnel","Masculin","Non","Oui","",""
"32","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Non","Oui","Aucune","La question précédente était vraiment bizarre."
"34","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Non","Peur (Peur / terreur / inquiétude / anxiété)","https://www.youtube.com/watch?v=ow_tQQzukfQ

https://www.youtube.com/watch?v=Q2yb6dyrsh0"
"35","","0","fr","Autre","N/A","N/A","N/A","",""
"36","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Non","Non","Mépris (Mépris / dédain / dégoût / haine/déplaisir/ déception/pessimisme)","Dans sa majorité l'IoT apporte des solutions gadget à des besoins fictifs ou irréels. Or l'IoT, comme toute solution de IT, est polluante et énergivore : il faut les construire, les alimenter et les remplacer. Aujourd'hui plus que jamais nous devons faire très attention à notre mode de vie et notre consommation. L'IoT n'est pas compatible avec les problèmes de pollution que nous faisons subir à notre planète !
"
"37","1980-01-01 00:00:00","6","fr","Personnel","Féminin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)","..."
"38","","5","fr","Etudiant","Masculin","Oui","Oui","Amour (Amour / tendresse / affection / dévouement / passion / envie / désir)",""
"39","1980-01-01 00:00:00","6","fr","Autre","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","En fait c'est sans doute plutôt de la curiosité pour voir ce que l'on peut faire avec et ce qu'ils peuvent nous apporter ... mais c'est un a priori positif dans tous les cas."
"40","","0","fr","Autre","N/A","N/A","N/A","",""
"41","","4","fr","Personnel","Masculin","Non","Oui","",""
"42","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","pour les personnes en situations de handicaps c'est bien !"
"43","1980-01-01 00:00:00","6","fr","Personnel","Féminin","Non","Oui","Aucune","Les dispositifs de type IoT sont déjà autour de nous sous diverse forme.
Il nous appartient à chacun d'en faire une aide essentielle à notre vie quotidienne tout en étant très vigilant sur l'utilisation des données engendrée en terme de confidentialité et étique."
"44","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Non","Non","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","L'avenir avec les Iot sera meilleur car ils vont permettre plus de confort pour les étudiants et enseignements et moins de charges pour les universités et plus d'économie en énergie."
"45","1980-01-01 00:00:00","6","fr","Autre","Féminin","Non","Oui","Surprise (Surprise / étonnement)","Je pense que l'utilisation de cette technologie va nous faciliter les choses et nous permettent de gagner notre temps pour le réserver à autres choses . "
"46","1980-01-01 00:00:00","6","fr","Personnel","Féminin","Non","Non","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","E"
"47","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)"," "
"48","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Non","Oui","Surprise (Surprise / étonnement)","En général je suis surprise par l'utilisation de ces composants parfois je me sens trop satisfaite psq c'est intelligent et ça facilite l'existence parfois je sens que c abusé"
"49","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Oui","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","De nos jours, les technologies les plus couramment utilisées peuvent se connecter à Internet. Les actifs peuvent alors fournir des données toujours plus nombreuses et plus riches et ouvrir ainsi la voie à de nouvelles perspectives et opportunités commerciales"
"50","1980-01-01 00:00:00","6","fr","Autre","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","L'usage de l'IoT dans le quotidien me rend optimiste parce que l'IoT'il utilise des prédictions qui peuvent aider à réduire les accidents et à sauver des vies. Les technologies portables peuvent aider à réduire les coûts et à améliorer la sécurité et la qualité des soins prodigués aux patients.
L'IoT nous offrira une eau plus propres, réduira le gaspillage alimentaire, nous aurons des villes plus intelligentes et une agriculture plus intelligente. Cela nous donnera simplement une vie plus intelligente et donc une vie meilleure."
"51","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","C’est bien de faciliter la vie des gens "
"52","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Ça me rend toujour heureux de voir l’impact positif de l’avancement technologique sur notre vie "
"53","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","ça va facilter notre vie "
"54","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Aucune","I don't have feeling"
"55","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Oui","Oui","Ennui","trop de technologie me fait sentif que mon espace est plein de négativité ou de champs négatif"
"56","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Surprise (Surprise / étonnement)"," "
"57","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)","."
"58","","0","fr","Autre","N/A","N/A","N/A","",""
"59","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","L'utilisation des IoT dans les campus universitaires pourrait grandement augmenter la productivité des enseignants et celle des étudiants du moment que toutes les ""tâches"" habituelles qui prennen5un certain temps à être accomplies ne seront plus de notre ressort, cela nous offre aussi une certaine vision euphorique d'une ville futuriste comme on a l'habitude d'en voir dans les films de science-fiction  (Star Wars,..etc.) or cela doit quand même nous laisser perplexes vis-à-vis des désavantages, ormis les données des utilisateurs qui seront ""dévoilées"" pour l'évolution de ces appareils, on devra réfléchir à comment diminuer les risques d'une telle technologie. "
"60","1980-01-01 00:00:00","6","fr","Personnel","Féminin","Oui","Oui","Aucune","""Aucune"" car un peu de tout : peur (surveillance, flicage...), colère (ça marche jamais), joie (ça pourrait faire des trucs bien), curiosité (on pourrait faire des trucs bien), enthousiasme (modernité), etc."
"61","","4","fr","Etudiant","Féminin","Non","Non","",""
"62","1980-01-01 00:00:00","6","fr","Personnel","Masculin","Non","Oui","","Les catégories proposées ne correspondent pas à ce que représentent pour moi les IoT et les nouvelles technologies. Je considère que ce sujet suscite de l'intérêt d'une part du point de vue scientifique et d'autre part de ce qu'elles peuvent apporter au niveau individuel et collectif. En contrepartie, leur essor soulève plutôt des questions/inquiétudes sur des questions qui relèvent de la privacité, de notre dépendance, de leur impact environnemental."
"63","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","L'utilisation des objets connectés facilitent énormément notre vie et nous offrent la possibilité de mieux gérer, manipuler et surveiller nos tâches et habitudes aux quotidient."
"64","","2","fr","Etudiant","Masculin","N/A","N/A","",""
"65","","5","fr","Etudiant","Masculin","Non","Oui","Amour (Amour / tendresse / affection / dévouement / passion / envie / désir)",""
"66","","0","fr","Autre","N/A","N/A","N/A","",""
"67","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Je me considère comme quelqu'un de très ""connecté"" et passionné de nouvelles technologies. C'est donc un plaisir d'en découvrir plus chaque jour dans notre quotidien, surtout si ces dispositifs IOT permettent de faire des économies d'énergie/ d'argent. Nous en avons besoin ! C'est une évolution naturelle de notre société."
"68","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Avoir la possibilité de contrôler les différents appareils entre eux m'amuse."
"69","","5","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)",""
"70","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Oui","Oui","Aucune","L'IoT est pour moi un secteur pouvant amener de grande choses, permettant de grandes économies en temps mais aussi en matière d’énergie avec des systèmes plus fin qu’actuellement (chauffage,éclairage), en cela son développent me réjoui. J'ai aussi peur de voir les système de l'IoT retourné par contre leur utilisateurs (espionnage) ou les rendant esclave de ceci. Comme pour toute technologie ce qui compte c'est ce que nous humains en ferons       "
"71","","5","fr","Etudiant","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)",""
"72","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Aucune","Je n'ai jamais été dans une salle avec des capteurs, le seul sentiment que pourrait évoquer chez moi un dispositif IoT serait de la curiosité. Je ne suis pas triste ou content d'utiliser des objets connectés, je veux juste comprendre comment le système fonctionne et dans quel but il est utilisé. Le reste me rend totalement indifférent."
"73","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Colère (Colère / rage / agacement / exaspération / énervement / impatience)","Les IoT sont souvent utilisé pour complexifier une situation qui marchait très bien sans eux. Les IoT rendent le matériel dépendant du réseau et permettent de créer une intelligence statistique."
"75","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Oui","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","L'utilisation de ces technologies permettent selon moi de se libérer, de pousser le côté flemmard jusqu'au bout, mais aussi d'être moins sous pression s'il y a des trucs que l'on ne doit pas oublier par exemple"
"76","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Oui","Oui","Amour (Amour / tendresse / affection / dévouement / passion / envie / désir)","c'est le turfu"
"77","","0","fr","Autre","N/A","N/A","N/A","",""
"78","","3","fr","Etudiant","Masculin","Non","N/A","",""
"79","","5","fr","Etudiant","Féminin","Non","Non","Amour (Amour / tendresse / affection / dévouement / passion / envie / désir)",""
"80","","5","fr","Etudiant","Féminin","Non","Oui","Aucune",""
"81","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Surprise (Surprise / étonnement)","Solutionq innovantes qui facilitent les tâches "
"82","","5","fr","Etudiant","Féminin","Oui","Oui","Amour (Amour / tendresse / affection / dévouement / passion / envie / désir)",""
"83","","3","fr","Etudiant","Masculin","Oui","N/A","",""
"84","","3","fr","Etudiant","Féminin","Non","N/A","",""
"85","","5","fr","Etudiant","Féminin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)",""
"86","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Amour (Amour / tendresse / affection / dévouement / passion / envie / désir)","j'aime tous ce qui est new tech et smart , utilisation des technologie pour construire le futur."
"87","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)","Nous serons de plus en plus surveillés et de moins en moins privés c'est dire que la technologie qui est vraiment partout me fait un peu flipper."
"88","","5","fr","Etudiant","Féminin","Non","Oui","",""
"89","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","tout usage de la technologie est favorable pour moi."
"90","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Je pense bien que sa améliore beaucoup  la vie quotidienne en la rendant plus intelligente donc parfois on est surpris et plus exactement je dirais impressionnés par leurs avantages et de se qu'ils peuvent faire  "
"91","","5","fr","Etudiant","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)",""
"92","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)","N/a"
"93","","5","fr","Etudiant","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)",""
"94","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)"," "
"95","","5","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)",""
"96","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","car ils facilitent la vie , et on a l'impression qu'on vit dans le futur "
"97","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)"," "
"98","","5","fr","Etudiant","Masculin","Non","Oui","Surprise (Surprise / étonnement)",""
"99","","5","fr","Etudiant","Masculin","Non","Oui","Aucune",""
"100","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","trés bien"
"101","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","les capteurs facilitent la vie"
"102","","5","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)",""
"103","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Oui","Oui","Surprise (Surprise / étonnement)","c'est fou on est trop fort"
"104","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","l'usage de l'IoT facilite énormément les tâches quotidiennes et a un grand potentiel par rapport à l'exploitation optimale des données collectées, cependant on peut être méfiant vis à vis des risques de sécurité que ça pose, surtout sur la confidentialité des données."
"105","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Oui","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Cela permet d'optimiser les traitements, donc c'est positif."
"106","1980-01-01 00:00:00","6","fr","Etudiant","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","C'est intéressant"
"107","1980-01-01 00:00:00","6","fr","Etudiant","Masculin","Non","Oui","Amour (Amour / tendresse / affection / dévouement / passion / envie / désir)","Je pense que cela peut améliorer la vie quotidienne de tout un chacun."
"108","","5","fr","Etudiant","Masculin","Non","Oui","Surprise (Surprise / étonnement)",""
"109","","4","fr","Autre","Masculin","Non","Non","",""
"111","","1","fr","Autre","N/A","N/A","N/A","",""
"112","","5","fr","Personnel","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)",""
"113","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Avec les IoT dans les bâtiments intelligent, nous sens plus de confort et de facilité de la vie quotidienne "
"114","","1","fr","Autre","N/A","N/A","N/A","",""
"115","","1","fr","Autre","N/A","N/A","N/A","",""
"116","","1","fr","Autre","N/A","N/A","N/A","",""
"117","","1","fr","Autre","N/A","N/A","N/A","",""
"118","","1","fr","Autre","N/A","N/A","N/A","",""
"119","","1","fr","Autre","N/A","N/A","N/A","",""
"120","","1","fr","Autre","N/A","N/A","N/A","",""
"121","","1","fr","Autre","N/A","N/A","N/A","",""
"122","1980-01-01 00:00:00","1","fr","Personnel","Masculin","Non","Non","Ennui","pourquoi des capteurs ? 
encore des questions au sujet de l'utilisté de sdonnées collectées.
pourquoi investir la dedans plutot que dans du materiel pédagogique, des salles de qualité, du personnel"
"123","1980-01-01 00:00:00","1","fr","Personnel","Féminin","Non","Oui","Aucune","On ne peut pas être aussi catégorique (blanc/noir). Les usages qui sont fait des informations captées font partie  du ressenti que l'on peut avoir. 
On peut être rassuré si c'est pour des questions de sécurité et d'amélioration du cadre de vie et inquiet si c'est de la surveillance ou que l'usage qui en est fait peut être détourné. "
"124","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","L'utilisation des capteurs ou des objets connectés en général peut apporter du confort et du plaisir à la personne comme par exemple : commander les lumière automatiquement, commander a distance la télé la radio ..etc."
"125","","1","fr","Autre","N/A","N/A","N/A","",""
"126","","1","fr","Autre","N/A","N/A","N/A","",""
"127","1980-01-01 00:00:00","1","fr","Personnel","Féminin","Non","Oui","","Ma réponse à la questio précédente n'est pas dans la liste : Je dirai que l'IoT m'évoque de la curiosité et de l'espoir pour limiter le gaspillage d'énergie, tout en gagnant en information sur noter environnement 
"
"128","","1","fr","Autre","N/A","N/A","N/A","",""
"130","","1","fr","Autre","N/A","N/A","N/A","",""
"131","","1","fr","Autre","N/A","N/A","N/A","",""
"132","","1","fr","Autre","N/A","N/A","N/A","",""
"133","","1","fr","Autre","N/A","N/A","N/A","",""
"134","","1","fr","Autre","N/A","N/A","N/A","",""
"135","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Je trouve que l'usage de de dispositifs IoT dans la vie quotidienne, et particulièrement sur les campus est tout d'abord bénéfique pour les étudiants, enseignats, administration, ... (chaque dispositif à sa manière).
En plus, être entouré de dispositifs technologiques tels que les objets IoT ne fait que renforcer l'intérêt des étudiants pour cette avancée technologique."
"136","","1","fr","Autre","N/A","N/A","N/A","",""
"137","","1","fr","Autre","N/A","N/A","N/A","",""
"138","","1","fr","Autre","N/A","N/A","N/A","",""
"139","","1","fr","Autre","N/A","N/A","N/A","",""
"140","","1","fr","Autre","N/A","N/A","N/A","",""
"141","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Nous voulons bien sûr avoir des villes intelligentes nous permettant d'y vivre en sécurité et les plus confortables moyens. Cela n'est possible qu'avec l'IoT. cet aspect de connectivité rendra la circulation de l'information plus fluide, et donc meilleure gestion de l'information."
"142","","1","fr","Autre","N/A","N/A","N/A","",""
"143","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Oui","Oui","Surprise (Surprise / étonnement)","c'est surprenant les avances de la technologie et ses applications"
"145","","1","fr","Autre","N/A","N/A","N/A","",""
"146","","1","fr","Autre","N/A","N/A","N/A","",""
"147","","1","fr","Autre","N/A","N/A","N/A","",""
"148","","1","fr","Autre","N/A","N/A","N/A","",""
"149","","1","fr","Autre","N/A","N/A","N/A","",""
"150","","1","fr","Autre","N/A","N/A","N/A","",""
"151","","1","fr","Autre","N/A","N/A","N/A","",""
"152","1980-01-01 00:00:00","1","fr","Personnel","Masculin","Oui","Oui","","En tant que statisticien et informaticien, je ne peux trouver que bien dans ça car c'est pour mieux comprendre des fois, mieux sécuriser parfois"
"153","","1","fr","Autre","N/A","N/A","N/A","",""
"154","","1","fr","Autre","N/A","N/A","N/A","",""
"155","","1","fr","Autre","N/A","N/A","N/A","",""
"156","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Peur (Peur / terreur / inquiétude / anxiété)","je suis d abord pour l avancement des technologies e je suis fan de cela m avec le cyber piratage de nos jours je crains fortement en nos dossiers personnels "
"157","","1","fr","Autre","N/A","N/A","N/A","",""
"158","","1","fr","Autre","N/A","N/A","N/A","",""
"159","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Sympa et tres futuristique comme projet"
"160","","1","fr","Autre","N/A","N/A","N/A","",""
"161","","1","fr","Autre","N/A","N/A","N/A","",""
"162","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Non","Oui","Surprise (Surprise / étonnement)","C'est agréable de voir la technologie qui améliore les conditions de vie des citoyens"
"163","","1","fr","Autre","N/A","N/A","N/A","",""
"164","","1","fr","Autre","N/A","N/A","N/A","",""
"165","","1","fr","Autre","N/A","N/A","N/A","",""
"166","","1","fr","Autre","N/A","N/A","N/A","",""
"167","1980-01-01 00:00:00","1","fr","Autre","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Ces nouvelles technologies nous permettent de en quelque sorte s assurer de jours meilleurs sur notre belle planète en la préservant. Il est indispensable que la transition écologique se passe même dans nos milieux scolaires pour de beaux lendemains sur notre magnifique terre"
"168","","1","fr","Autre","N/A","N/A","N/A","",""
"169","","1","fr","Autre","N/A","N/A","N/A","",""
"170","","1","fr","Autre","N/A","N/A","N/A","",""
"171","","1","fr","Autre","N/A","N/A","N/A","",""
"172","","1","fr","Autre","N/A","N/A","N/A","",""
"173","","1","fr","Autre","N/A","N/A","N/A","",""
"174","","1","fr","Autre","N/A","N/A","N/A","",""
"175","","1","fr","Autre","N/A","N/A","N/A","",""
"176","","1","fr","Autre","N/A","N/A","N/A","",""
"177","","1","fr","Autre","N/A","N/A","N/A","",""
"178","1980-01-01 00:00:00","1","fr","Etudiant","Féminin","Non","Oui","Plaisir (Plaisir / divertissement / joie /euphorie / bonheur /extase)","Les dispositifs loT pourrai s'avérer très utile au sein de nos universités mais il faut bien choisir quels loT mettre en œuvre car à mons avis trop d'appareils connectés  est stressant "
"179","1980-01-01 00:00:00","1","fr","Etudiant","Masculin","Non","Non","Apaisement (Optimisme/Apaisement / soulagement / reconnaissance / pardon / sérénité)","Concernant les émotions sur l'usage des  Dispositifs IoT. Un grd apport pour les profs et étudiants selon le fait que  ,le ours peut être, se derouler régulièrement sans soucis de lumière"
"180","","1","fr","Autre","N/A","N/A","N/A","",""
"181","","1","fr","Autre","N/A","N/A","N/A","",""
"182","","1","fr","Autre","N/A","N/A","N/A","",""
"183","","1","fr","Autre","N/A","N/A","N/A","",""
"184","","1","fr","Autre","N/A","N/A","N/A","",""
"185","","1","fr","Autre","N/A","N/A","N/A","",""
"186","","1","fr","Autre","N/A","N/A","N/A","",""
"187","","1","fr","Autre","N/A","N/A","N/A","",""
"188","","1","fr","Autre","N/A","N/A","N/A","",""
"189","","1","fr","Autre","N/A","N/A","N/A","",""
"190","","1","fr","Autre","N/A","N/A","N/A","",""
"191","","1","fr","Autre","N/A","N/A","N/A","",""
"192","","1","fr","Autre","N/A","N/A","N/A","",""
"193","","1","fr","Autre","N/A","N/A","N/A","",""
"194","1980-01-01 00:00:00","1","fr","Autre","Féminin","Non","Oui","Surprise (Surprise / étonnement)","Je trouve que le monde technologique est passionnant à condition de ne pas le mettre au profit de l être humain 
"
"195","","1","fr","Autre","N/A","N/A","N/A","",""
